term_id,concept,category,language,term,notes
lithazo_fc5_g,Stone Verb frequency control 5,pericope_frequency_control,greek,χαλκος,target=lithazo_g; source=daniel_statue_metals.csv:daniel_bronze_g; normalized_length=6; target_tr_hits=0; control_tr_hits=0
grapho_fc1_g,Write frequency control 1,pericope_frequency_control,greek,αχααβ,target=grapho_g; source=greek_expanded_prospective_terms.csv:gpx_ahab_g; normalized_length=5; target_tr_hits=1; control_tr_hits=1
grapho_fc2_g,Write frequency control 2,pericope_frequency_control,greek,αρχαδ,target=grapho_g; source=greek_expanded_prospective_terms.csv:gpx_akkad_g; normalized_length=5; target_tr_hits=1; control_tr_hits=1
grapho_fc3_g,Write frequency control 3,pericope_frequency_control,greek,γαζαν,target=grapho_g; source=greek_expanded_prospective_terms.csv:gpx_gaza_g; normalized_length=5; target_tr_hits=1; control_tr_hits=1
grapho_fc4_g,Write frequency control 4,pericope_frequency_control,greek,ιωβαβ,target=grapho_g; source=greek_expanded_prospective_terms.csv:gpx_jobab_g; normalized_length=5; target_tr_hits=1; control_tr_hits=1
grapho_fc5_g,Write frequency control 5,pericope_frequency_control,greek,πληγη,target=grapho_g; source=greek_expanded_prospective_terms.csv:gpx_plague_g; normalized_length=5; target_tr_hits=1; control_tr_hits=1
daktylos_fc1_g,Finger frequency control 1,pericope_frequency_control,greek,ιεζεκιηλ,target=daktylos_g; source=biblical_prophets_cohort.csv:prophet_ezekiel_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
daktylos_fc2_g,Finger frequency control 2,pericope_frequency_control,greek,αμβακουμ,target=daktylos_g; source=biblical_prophets_cohort.csv:prophet_habakkuk_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
daktylos_fc3_g,Finger frequency control 3,pericope_frequency_control,greek,ιερεμιας,target=daktylos_g; source=biblical_prophets_cohort.csv:prophet_jeremiah_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
daktylos_fc4_g,Finger frequency control 4,pericope_frequency_control,greek,μαλαχιας,target=daktylos_g; source=biblical_prophets_cohort.csv:prophet_malachi_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
daktylos_fc5_g,Finger frequency control 5,pericope_frequency_control,greek,ζαχαριας,target=daktylos_g; source=biblical_prophets_cohort.csv:prophet_zechariah_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
