label,name,config_path,local_csv,coverage,ot_basis,nt_basis,source_family,basis_status,notes,source_id,source_url,details_url,license_label,source_path_prefix
AFINT-EXP-AE,African International New Testament Explanatory Paraphrase American English Edition,,data/processed/openbible/afint-exp-ae.csv,nt,not applicable; New Testament only,upstream Open.Bible page does not state Greek source/manuscript basis,Open.Bible CC BY-SA English New Testament explanatory paraphrase control,broad_tradition,Open.Bible page identifies English New Testament download and CC BY-SA license; use as English surface control only,afint-exp-ae,https://openbible-api-1.biblica.com/artifactContent/6a01365818566477a9066293,https://www.open.bible/bibles/69a307e295245b14e244c7a0,CC BY-SA per Open.Bible product page,release/text_1/
AFINT-EXP-BE,African International New Testament Explanatory Paraphrase British English Edition,,data/processed/openbible/afint-exp-be.csv,nt,not applicable; New Testament only,upstream Open.Bible page does not state Greek source/manuscript basis,Open.Bible CC BY-SA English New Testament explanatory paraphrase control,broad_tradition,Open.Bible page identifies English New Testament download and CC BY-SA license; use as English surface control only,afint-exp-be,https://openbible-api-1.biblica.com/artifactContent/6a01365318566477a906628f,https://www.open.bible/bibles/69a307df95245b14e244c797,CC BY-SA per Open.Bible product page,release/text_1/
AFINT-LIT-AE,African International New Testament Literal Translation American English Edition,,data/processed/openbible/afint-lit-ae.csv,nt,not applicable; New Testament only,upstream Open.Bible page does not state Greek source/manuscript basis,Open.Bible CC BY-SA English New Testament literal control,broad_tradition,Open.Bible page identifies English New Testament download and CC BY-SA license; use as English surface control only,afint-lit-ae,https://openbible-api-1.biblica.com/artifactContent/69fe937f18566477a90657ad,https://www.open.bible/bibles/69a307e995245b14e244c7b0,CC BY-SA per Open.Bible product page,release/text_1/
AFINT-LIT-BE,African International New Testament Literal Translation British English Edition,,data/processed/openbible/afint-lit-be.csv,nt,not applicable; New Testament only,upstream Open.Bible page does not state Greek source/manuscript basis,Open.Bible CC BY-SA English New Testament literal control,broad_tradition,Open.Bible page identifies English New Testament download and CC BY-SA license; use as English surface control only,afint-lit-be,https://openbible-api-1.biblica.com/artifactContent/69fe936818566477a90657a9,https://www.open.bible/bibles/69a307e695245b14e244c7a8,CC BY-SA per Open.Bible product page,release/text_1/
